이름,지번주소,요일,여는시간,닫는시간,브레이크 시작,브레이크 끝,라스트오더,휴무여부,비고,,,,,,
금화정,부산광역시 금정구 부곡동 223-82,4,,,,,,,5~8월은 21시 영업종료,,,,,,
금화정,부산광역시 금정구 부곡동 223-82,5,,,,,,,5~8월은 21시 영업종료,,,,,,
금화정,부산광역시 금정구 부곡동 223-82,6,,,,,,,5~8월은 21시 영업종료,,,,,,
오,부산광역시 금정구 부곡동 223-82,0,,,,,,,,,,,,,
오,부산광역시 금정구 부곡동 223-82,1,,,,,,,,,,,,,
오,부산광역시 금정구 부곡동 223-82,2,,,,,,,,,,,,,
오,부산광역시 금정구 부곡동 223-82,3,,,,,,,,,,,,,
오,부산광역시 금정구 부곡동 223-82,4,,,,,,,,,,,,,
오,부산광역시 금정구 부곡동 223-82,5,,,,,,,,,,,,,
오,부산광역시 금정구 부곡동 223-82,6,,,,,,,,,,,,,
장전밀면,부산광역시 금정구 부곡동 223-83,0,,,,,,,,,,,,,
장전밀면,부산광역시 금정구 부곡동 223-83,1,,,,,,,,,,,,,
장전밀면,부산광역시 금정구 부곡동 223-83,2,,,,,,,,,,,,,
장전밀면,부산광역시 금정구 부곡동 223-83,3,,,,,,,,,,,,,
장전밀면,부산광역시 금정구 부곡동 223-83,4,,,,,,,,,,,,,
장전밀면,부산광역시 금정구 부곡동 223-83,5,,,,,,,,,,,,,
장전밀면,부산광역시 금정구 부곡동 223-83,6,,,,,,,,,,,,,
한서식당,부산광역시 금정구 부곡동 223-83,0,,,,,,,,,,,,,
한서식당,부산광역시 금정구 부곡동 223-83,1,,,,,,,,,,,,,
한서식당,부산광역시 금정구 부곡동 223-83,2,,,,,,,,,,,,,
한서식당,부산광역시 금정구 부곡동 223-83,3,,,,,,,,,,,,,
한서식당,부산광역시 금정구 부곡동 223-83,4,,,,,,,,,,,,,
한서식당,부산광역시 금정구 부곡동 223-83,5,,,,,,,,,,,,,
한서식당,부산광역시 금정구 부곡동 223-83,6,,,,,,,,,,,,,
정,부산광역시 금정구 부곡동 224-1,0,,,,,,,,,,,,,
정,부산광역시 금정구 부곡동 224-1,1,,,,,,,,,,,,,
정,부산광역시 금정구 부곡동 224-1,2,,,,,,,,,,,,,
정,부산광역시 금정구 부곡동 224-1,3,,,,,,,,,,,,,
정,부산광역시 금정구 부곡동 224-1,4,,,,,,,,,,,,,
정,부산광역시 금정구 부곡동 224-1,5,,,,,,,,,,,,,
정,부산광역시 금정구 부곡동 224-1,6,,,,,,,,,,,,,
동해바다,부산광역시 금정구 부곡동 224-53,0,,,,,,,,,,,,,
동해바다,부산광역시 금정구 부곡동 224-53,1,,,,,,,,,,,,,
