이름,지번주소,도로명주소,요일,휴무일,휴무 간격,여는시간,닫는시간,라스트오더,휴무여부,비고
4스텝스커피,부산광역시 기장군 정관읍 용수리 1307-1,부산광역시 기장군 정관읍 용수로 16,4,,,,,,,
4스텝스커피,부산광역시 기장군 정관읍 용수리 1307-1,부산광역시 기장군 정관읍 용수로 16,5,,,,,,,
4스텝스커피,부산광역시 기장군 정관읍 용수리 1307-1,부산광역시 기장군 정관읍 용수로 16,6,,,,,,,
4이얼즈어파트,부산광역시 동구 좌천동 524-3,부산광역시 동구 중앙대로 447-1,0,,,,,,,
4이얼즈어파트,부산광역시 동구 좌천동 524-3,부산광역시 동구 중앙대로 447-1,1,,,,,,,
4이얼즈어파트,부산광역시 동구 좌천동 524-3,부산광역시 동구 중앙대로 447-1,2,,,,,,,
4이얼즈어파트,부산광역시 동구 좌천동 524-3,부산광역시 동구 중앙대로 447-1,3,,,,,,,
4이얼즈어파트,부산광역시 동구 좌천동 524-3,부산광역시 동구 중앙대로 447-1,4,,,,,,,
4이얼즈어파트,부산광역시 동구 좌천동 524-3,부산광역시 동구 중앙대로 447-1,5,,,,,,,
4이얼즈어파트,부산광역시 동구 좌천동 524-3,부산광역시 동구 중앙대로 447-1,6,,,,,,,
511더치,부산광역시 동구 초량동 1205-1,부산광역시 동구 중앙대로 192,0,,,,,,,
511더치,부산광역시 동구 초량동 1205-1,부산광역시 동구 중앙대로 192,1,,,,,,,
511더치,부산광역시 동구 초량동 1205-1,부산광역시 동구 중앙대로 192,2,,,,,,,
511더치,부산광역시 동구 초량동 1205-1,부산광역시 동구 중앙대로 192,3,,,,,,,
511더치,부산광역시 동구 초량동 1205-1,부산광역시 동구 중앙대로 192,4,,,,,,,
511더치,부산광역시 동구 초량동 1205-1,부산광역시 동구 중앙대로 192,5,,,,,,,
511더치,부산광역시 동구 초량동 1205-1,부산광역시 동구 중앙대로 192,6,,,,,,,
511더치앤커피,부산광역시 기장군 정관읍 매학리 715-1,부산광역시 기장군 정관읍 정관8로 16-5,0,,,,,,,
511더치앤커피,부산광역시 기장군 정관읍 매학리 715-1,부산광역시 기장군 정관읍 정관8로 16-5,1,,,,,,,
511더치앤커피,부산광역시 기장군 정관읍 매학리 715-1,부산광역시 기장군 정관읍 정관8로 16-5,2,,,,,,,
511더치앤커피,부산광역시 기장군 정관읍 매학리 715-1,부산광역시 기장군 정관읍 정관8로 16-5,3,,,,,,,
511더치앤커피,부산광역시 기장군 정관읍 매학리 715-1,부산광역시 기장군 정관읍 정관8로 16-5,4,,,,,,,
511더치앤커피,부산광역시 기장군 정관읍 매학리 715-1,부산광역시 기장군 정관읍 정관8로 16-5,5,,,,,,,
511더치앤커피,부산광역시 기장군 정관읍 매학리 715-1,부산광역시 기장군 정관읍 정관8로 16-5,6,,,,,,,
511더치커피,부산광역시 동구 수정동 231-22,부산광역시 동구 고관로 135,0,,,,,,,
511더치커피,부산광역시 동구 수정동 231-22,부산광역시 동구 고관로 135,1,,,,,,,
511더치커피,부산광역시 동구 수정동 231-22,부산광역시 동구 고관로 135,2,,,,,,,
511더치커피,부산광역시 동구 수정동 231-22,부산광역시 동구 고관로 135,3,,,,,,,
511더치커피,부산광역시 동구 수정동 231-22,부산광역시 동구 고관로 135,4,,,,,,,
511더치커피,부산광역시 동구 수정동 231-22,부산광역시 동구 고관로 135,5,,,,,,,
511더치커피,부산광역시 동구 수정동 231-22,부산광역시 동구 고관로 135,6,,,,,,,
5월에,부산광역시 금정구 금사동 117-13,부산광역시 금정구 반송로 488,0,,,,,,,
5월에,부산광역시 금정구 금사동 117-13,부산광역시 금정구 반송로 488,1,,,,,,,
5월에,부산광역시 금정구 금사동 117-13,부산광역시 금정구 반송로 488,2,,,,,,,
5월에,부산광역시 금정구 금사동 117-13,부산광역시 금정구 반송로 488,3,,,,,,,
5월에,부산광역시 금정구 금사동 117-13,부산광역시 금정구 반송로 488,4,,,,,,,
5월에,부산광역시 금정구 금사동 117-13,부산광역시 금정구 반송로 488,5,,,,,,,
5월에,부산광역시 금정구 금사동 117-13,부산광역시 금정구 반송로 488,6,,,,,,,
6.5커피숍,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 중앙대로 1101,0,,,,,,,
6.5커피숍,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 중앙대로 1101,1,,,,,,,
6.5커피숍,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 중앙대로 1101,2,,,,,,,
6.5커피숍,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 중앙대로 1101,3,,,,,,,
6.5커피숍,부산광역시 연제구 연산동 1515-1,부산광역시 연제구 중앙대로 1101,4,,,,,,,
